户号,00点(kW),01点(kW),02点(kW),03点(kW),04点(kW),05点(kW),06点(kW),07点(kW),08点(kW),09点(kW),10点(kW),11点(kW),12点(kW),13点(kW),14点(kW),15点(kW),16点(kW),17点(kW),18点(kW),19点(kW),20点(kW),21点(kW),22点(kW),23点(kW)
"1315000054	",332.3,310.5,312,359.4,290.1,311,322.7,340.3,499.1,443,538.8,488,353.1,487,498.1,456.8,531.8,557.7,444.8,483.6,445.2,522.1,433.3,459.3
"1315000079	",30.7,34.8,26.9,36.2,20.6,38.3,44.9,39.6,57.9,149.2,119,120.5,137,127,103.6,116.6,106.5,116.8,61.4,53.5,46.8,55.7,45.2,34.6
"1315000090	",12.32,12.64,12.32,13.6,12.4,51.92,23.2,32.16,201.68,174.08,179.28,251.76,209.12,199.12,187.12,173.36,154.08,87.52,30,20.72,15.12,15.44,19.2,11.2
"1315000091	",8.5,9,7.4,6.6,7.6,6,7.3,13.8,77.3,126,139.1,175.1,142.1,146,143.6,150.3,150.6,89.1,20.4,7.9,9.7,6.4,6.5,11.2
"1315000098	",102.4,107.8,100,87.8,91,90.8,123.6,98.8,207.2,365.6,419.6,496.2,450,454.2,374.2,400.2,394.4,332.8,182.8,94.6,105.8,118.2,162.2,187.4
"1315000112	",1397.2,1307.2,1404.4,1214,959.6,961.6,920.4,1534,1927.6,1840.8,1762.8,1439.2,590.8,1358,1568.8,2055.6,1961.6,1976,1670.8,1522.4,1375.6,1464.8,1383.6,1332.8
"1315000131	",299.7,350.55,327.75,420.6,329.4,327.6,327.45,341.25,431.7,287.25,315.3,262.2,294.9,324.3,402.3,274.95,280.35,208.5,81.3,10.65,13.95,13.35,14.1,11.55
"1315000156	",267.6,285.7,292.8,273,287.6,274.3,282.5,342.7,470.7,463.1,462.4,345.2,354.7,385.5,393,341.4,331,40.4,13.1,7.9,7.8,7.8,7.4,237.5
"1315000157	",9,9.2,11.9,10,9.6,9.4,26.5,17.3,18.9,23.1,21.3,25.3,20.4,20.5,6.6,17.2,11.3,17.2,15.1,14.4,16.8,13.7,13.3,12
"1315000160	",2305.5,2289,2259.5,2278.5,2263.5,2204.5,2267.5,2310,2265.5,2360,2353.5,2311,2297,2357,2380.5,2345.5,2382,2361,2327,2213,2147.5,2127.5,2071,2041
"1315002002	",13.8,12.8,12.8,19.5,15.1,14.4,12.1,13,13.2,34.4,23.8,22.8,29.4,30.9,27.6,21.3,27,28.3,19.9,14.7,14.2,15.3,15.6,17.4
"1315002004	",230.4,193.65,215.7,248.1,224.55,150.9,150.45,275.25,478.65,455.85,470.55,357.3,378.45,479.55,395.4,444.3,483.6,269.4,210.75,309,332.4,301.05,269.7,261.15
"1315002020	",314.85,459.6,399.45,341.25,330,382.8,360.9,362.55,561.9,676.65,634.5,487.35,386.25,604.2,601.05,571.5,561.6,550.2,460.65,366.45,387.3,361.2,410.4,177
"1315002064	",430.26,430.68,396.72,395.58,394.8,396.66,390.9,390.12,396.72,393.06,389.76,391.2,394.68,387.84,392.4,393.84,394.98,393.48,396.6,403.32,397.62,217.32,217.74,221.22
"1315002067	",738.6,725.1,807.6,742.8,765.9,739.8,759.15,805.05,974.7,956.55,988.2,862.8,811.35,1000.65,892.65,985.05,914.55,498.15,796.05,764.85,761.1,720.45,818.7,841.05
"1315002068	",281.76,281.28,294.18,294.6,283.32,299.76,301.02,330.18,305.94,305.64,320.82,297.12,305.88,279.3,321.42,314.16,281.34,298.26,301.38,283.86,287.34,292.32,303.78,316.44
